identifier,remarks,default,ru
TAROT_NEEDMOUSE,Black Tarot Board,"Currently the Black Tarot Board can't be used without the mouse. Navigate to \c[PKGreenText]%s > %s > %s\c[PKBaseText] to enable mouse in menus, then try opening the Board again.","Для использования карт Таро необходима мышь. Включите использование мыши в меню с помощью \c[PKGreenText]%s > %s > %s\c[PKBaseText], затем откройте доску повторно."
TAROT_PRESSESC,,(Press Esc to close this window),"(Нажмите Esc, чтобы закрыть это окно)"
TAROT_PURCHASE,Black Tarot Board,Spend \c[PKGreenText]%d gold\c[PKBaseText] to buy this card?,Купить эту карту за \c[PKGreenText]%d золота\c[PKBaseText]?
TAROT_CANTPURCHASE,Black Tarot Board,You don't have enough gold to buy this card.,Недостаточно золота для покупки карты.
TAROT_CANTUNEQUIP,Black Tarot Board,"This card is already equipped and locked in the slot.
You don't have enough gold to unlock this card.","Эта карта размещена в ячейке и заблокирована.
У вас недостаточно золота, чтобы разблокировать ее."
TAROT_PAYTOUNEQUIP,Black Tarot Board,"This card is already equipped and locked in the slot. Will you spend \c[PKGreenText]%d gold\c[PKBaseText] to unlock it?

(Reach next map to re-equip cards for free.)","Эта карта размещена в ячейке и заблокирована. Разблокировать ее за \c[PKGreenText]%d золота\c[PKBaseText]?

(В начале следующего уровня это можно будет сделать бесплатно.)"
TAROT_FIRSTUSE,Black Tarot Board,"Welcome to the Black Tarot.

As a one-time gift you will now receive some random cards.","Чёрное Таро приветствует вас.

В качестве первого и последнего подарка вы сейчас получите несколько карт."
TAROT_EXIT,Black Tarot Board,"Are you sure you want to close the Black Tarot Board? 
To change the equipped cards again you will have to complete this level or pay in gold.","Вы точно хотите закрыть доску?
Закрыв доску, вы сможете изменить выбранные карты только в начале следующего уровня или за золото."
TAROT_SILVERINFO,Black Tarot Board,The effects of Silver Cards are active throughout the level.,Серебряные карты действуют в течение всего уровня.
TAROT_GOLDINFO,Black Tarot Board,Golden Cards have to be activated manually and will remain active for a short time.,"Золотые активируются вручную, после чего действуют короткое время."
TAROT_YES,Black Tarot Board,Yes,Да
TAROT_NO,Black Tarot Board,No,Нет
TAROT_CLOSE,Black Tarot Board,OK,ОК
TAROT_GOLDABR,Black Tarot Board,g,з.
TAROT_REFRESH_TIP,,Golden Cards can only be activated a limited number of times per map. This button allows you to refresh activations for gold.,Золотые карты можно активировать ограниченное число раз за уровень. Эта кнопка позволяет обновить число активаций после использования.
TAROT_REFRESH_REMAINING,,"\c[PKGreenText]%d\c[PKBaseText] Golden Cards activations remaining.
Do you want to spend \c[PKGreenText]%d gold\c[PKBaseText] to refresh the number of activations back to \c[PKGreenText]%d\c[PKBaseText]?

(Reach next map to refresh for free.)","Осталось активаций: \c[PKGreenText]%d\c[PKBaseText].
Вы хотите потратить \c[PKGreenText]%d золота\c[PKBaseText], чтобы обновить число активаций Золотых карт до \c[PKGreenText]%d\c[PKBaseText]?

(В начале следующего уровня это произойдет бесплатно.)"
TAROT_REFRESH_NEEDGOLD,,"\c[PKGreenText]%d\c[PKBaseText] Golden Cards activations remaining.
You need \c[PKGreenText]%d gold\c[PKBaseText] to refresh the number of activations. Make more gold or reach next map to refresh for free.","Осталось активаций: \c[PKGreenText]%d\c[PKBaseText].
Вам нужно \c[PKGreenText]%d золота\c[PKBaseText], чтобы обновить число активаций Золотых карт. Добудьте больше золота, либо доберитесь до следующего уровня, чтобы обновить активации бесплатно."
TAROT_REFRESH_MAX,,"\c[PKGreenText]%d\c[PKBaseText] is the maximum number of Gold Cards activations. Once you've used the cards in a map, you can come back to refresh the activation for gold.","\c[PKGreenText]%d\c[PKBaseText] - это максимальное число активаций Золотых карт. Используйте Золотые карты на уровне, после чего вы сможете вернуться, чтобы обновить число активаций за золото."
TAROT_LOWSKILL,Black Tarot Board,Black Tarot is not available on the lowest difficulty,Карты Таро недоступны на самой низкой сложности
PK_ENDURANCE_DESC,Tarot Cards,Take only half the damage.,Вы получаете вдвое меньше урона.
PK_SPEED_DESC,Tarot Cards,Move faster.,Вы двигаетесь быстрее.
PK_TIMEBONUS_DESC,Tarot Cards,Golden Cards last 15 seconds longer.,Золотые карты действуют на 15 сек. дольше.
PK_REBIRTH_DESC,Tarot Cards,Gain full Health and Armor on activation.,При активации вы получаете полные здоровье и броню.
PK_CONFUSION_DESC,Tarot Cards,Confuse enemies into attacking each other.,"Сбивает с толку врагов, заставляя их атаковать друг друга."
PK_DEXTERITY_DESC,Tarot Cards,Weapons fire 2x faster.,Ваше оружие стреляет вдвое быстрее.
PK_WMODIFIER_DESC,Tarot Cards,Activate Weapon Modifier.,Активирует эффект модификатора оружия.
PK_SOT_DESC,Tarot Cards,Your every step damages nearby enemies.,С каждым шагом вы наносите урон врагам вокруг вас.
PK_RAGE_DESC,Tarot Cards,Deliver 4x damage.,Вы наносите в 4 раза больше урона.
PK_MAGICGUN_DESC,Tarot Cards,Guns don't consume ammo.,Оружие не расходует патроны.
PK_IRONWILL_DESC,Tarot Cards,You can't be hurt.,Вы неуязвимы.
PK_HASTE_DESC,Tarot Cards,Enemies move 4x slower.,Замедляет врагов в 4 раза.
