[enu default]
TAROT_NEEDMOUSE		= "Currently the Black Tarot Board can't be used without the mouse. Navigate to 'Options > Mouse Options > Enable mouse in menus' to enable mouse in menus, then try opening the Board again.\n\n           (Press Esc to close this window)";
TAROT_PURCHASE		= "Spend %d gold to buy this card?";
TAROT_CANTPURCHASE	= "You don't have enough gold to buy this card.";
TAROT_CANTUNEQUIP	= "This card is already equipped and locked in the slot.\nYou don't have enough gold to unlock this card.";
TAROT_PAYTOUNEQUIP	= "This card is already equipped and locked in the slot. Will you spend %d gold to unlock it?\n(Reach next map to re-equip cards for free.)";
TAROT_FIRSTUSE		= "Welcome to the Black Tarot.\nAs a one-time gift you will now receive some random cards.";
TAROT_EXIT			= 	"Are you sure you want to close the Black Tarot Board?"
						"\n"
						"To change the equipped cards again you will have to complete this level or pay in gold.";
TAROT_SILVERINFO	=  "The effects of Silver Cards are active throughout the level.";
TAROT_GOLDINFO		=  "Golden Cards have to be activated manually and will remain active for a short time.";

PK_OPENBOARD			= "Open Black Tarot board";
PK_USEGOLDCARDS			= "Activate Golden Cards";

PK_ENDURANCE_DESC 		= "Take only half the damage.";
PK_SPEED_DESC 			= "Move faster.";
PK_TIMEBONUS_DESC 		= "Golden Cards last 15 seconds longer.";
PK_REBIRTH_DESC 		= "Gain full Health and Armor on activation.";
PK_CONFUSION_DESC 		= "Confuse enemies.";
PK_DEXTERITY_DESC		= "Weapons fire 2x faster.";
PK_WMODIFIER_DESC		= "Activate Weapon Modifier.";
PK_SOT_DESC				= "Your every step damages nearby enemies.";
PK_RAGE_DESC			= "Deliver 4x damage.";
PK_MAGICGUN_DESC		= "Guns don't consume ammo.";
PK_IRONWILL_DESC		= "You can't be hurt.";
PK_HASTE_DESC			= "Enemies move 4x slower.";

PK_SOULKEEPER_DESC		= "Souls never disappear.";
PK_BLESSING_DESC		= "Increase base health to 150.";
PK_REPLENISH_DESC		= "Double the ammo in ammo boxes.";
PK_DARKSOUL_DESC		= "Morph into demon form at 50 souls.";
PK_SOULCATCHER_DESC		= "Attract souls and gold from a distance.";
PK_FORGIVENESS_DESC		= "Use Golden Cards 2 times per level.";
PK_GREED_DESC			= "Receive 2x gold.";
PK_SOULREDEEMER_DESC	= "Souls provide more health.";
PK_REGENERATION_DESC	= "Regenerate Health 10 sec after taking the last damage.";
PK_HEALTHSTEALER_DESC	= "Receive a portion of damage dealt to enemies as health.";
PK_HELLISHARMOR_DESC	= "Regenerate Armor 10 sec after taking the last damage.";
PK_666AMMO_DESC			= "Start the map with 666 ammo of every type.";

PK_ENDURANCE_NAME 		= "Endurance";
PK_SPEED_NAME 			= "Speed";
PK_TIMEBONUS_NAME 		= "Time Bonus";
PK_REBIRTH_NAME 		= "Rebirth";
PK_CONFUSION_NAME 		= "Confusion";
PK_DEXTERITY_NAME		= "Dexterity";
PK_WMODIFIER_NAME		= "Weapon Modifier";
PK_SOT_NAME				= "Steps of Thunder";
PK_RAGE_NAME			= "Rage";
PK_MAGICGUN_NAME		= "Magic Gun";
PK_IRONWILL_NAME		= "Iron Will";
PK_HASTE_NAME			= "Haste";

PK_SOULKEEPER_NAME		= "Soul Keeper";
PK_BLESSING_NAME		= "Blessing";
PK_REPLENISH_NAME		= "Replenish";
PK_DARKSOUL_NAME		= "Dark Soul";
PK_SOULCATCHER_NAME		= "Soul Catcher";
PK_FORGIVENESS_NAME		= "Forgiveness";
PK_GREED_NAME			= "Greed";
PK_SOULREDEEMER_NAME	= "Soul Redeemer";
PK_REGENERATION_NAME	= "Regeneration";
PK_HEALTHSTEALER_NAME	= "Health Stealer";
PK_HELLISHARMOR_NAME	= "Hellish Armor";
PK_666AMMO_NAME			= "666 Ammo";
